assay,serotype,vaccine,dose_description,gmc_or_gmt,pct_threshold_responders,threshold,N,sigma_ln,se_ln,derived_lower_limit,derived_upper_limit,status
OPA,19F,PCV13 (Walvax),1m post primary child,652.57,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,6A,PCV7,1m post boost child,1562.59,92.78,8.0,97,3.6138,0.3669,761.23,3207.57,DERIVED_lognormal
OPA,7F,PCV13 (Walvax),1m post boost child,7244.42,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,19F,PCV7,1m post boost child,815.68,96.91,8.0,97,2.4760,0.2514,498.33,1335.12,DERIVED_lognormal
OPA,19F,PCV13 (Walvax),1m post boost child,2359.26,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,7F,PCV7,1m post boost child,41.47,52.58,8.0,97,,,NA,NA,LEFT_NA_unstable_near_50pct
OPA,19A,PCV13 (Walvax),1m post boost child,5503.11,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,19A,PCV7,1m post boost child,72.99,79.38,8.0,97,2.6973,0.2739,42.67,124.85,DERIVED_lognormal
OPA,3,PCV13 (Walvax),1m post boost child,678.98,97.92,8.0,96,2.1797,0.2225,439.03,1050.08,DERIVED_lognormal
OPA,14,PCV13 (Walvax),1m post boost child,7686.96,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,1,PCV7,1m post boost child,2.28,4.12,8.0,97,0.7227,0.0734,1.97,2.63,DERIVED_lognormal
OPA,6B,PCV7,1m post boost child,7564.42,97.94,8.0,97,3.3562,0.3408,3878.86,14751.88,DERIVED_lognormal
OPA,18C,PCV13 (Walvax),1m post boost child,4173.73,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,18C,PCV7,1m post boost child,5507.66,98.97,8.0,97,2.8224,0.2866,3140.76,9658.26,DERIVED_lognormal
OPA,14,PCV7,1m post boost child,6221.93,100.0,8.0,97,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,5,PCV7,1m post boost child,2.61,5.15,8.0,97,0.6870,0.0698,2.28,2.99,DERIVED_lognormal
OPA,5,PCV13 (Walvax),1m post boost child,1375.13,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,23F,PCV13 (Walvax),1m post boost child,4943.66,98.96,8.0,96,2.7801,0.2837,2834.81,8621.32,DERIVED_lognormal
OPA,4,PCV13 (Walvax),1m post boost child,6182.37,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,4,PCV7,1m post boost child,6208.15,100.0,8.0,97,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,3,PCV7,1m post boost child,5.03,37.11,8.0,97,1.4107,0.1432,3.80,6.66,DERIVED_lognormal
OPA,1,PCV13 (Walvax),1m post boost child,321.14,97.92,8.0,96,1.8122,0.1850,223.49,461.46,DERIVED_lognormal
OPA,6A,PCV13 (Walvax),1m post boost child,3254.75,95.83,8.0,96,3.4705,0.3542,1625.59,6516.64,DERIVED_lognormal
OPA,6B,PCV13 (Walvax),1m post boost child,2661.93,98.96,8.0,96,2.5123,0.2564,1610.41,4400.03,DERIVED_lognormal
OPA,23F,PCV7,1m post boost child,16131.84,98.97,8.0,97,3.2865,0.3337,8387.55,31026.49,DERIVED_lognormal
OPA,9V,PCV13 (Walvax),1m post boost child,6184.75,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,9V,PCV7,1m post boost child,5484.79,100.0,8.0,97,,,NA,NA,LEFT_NA_ceiling_or_floor
