clinical_trial_study_name,clinical_trial_study_id,clinical_trial_sponsor,clinical_trial_responsible_party,clinical_trial_phase,location_country_code,location_continent,study_eligibility_standard_age_list,study_eligibility_ethnicity,outcome_overview_title,outcome_overview_id,outcome_overview_description,outcome_overview_time_frame,outcome_overview_assay,outcome_overview_dose_number,outcome_overview_participants,outcome_overview_serotype,outcome_overview_value,outcome_overview_upper_limit,outcome_overview_lower_limit,outcome_overview_ratio,outcome_overview_vaccine,outcome_overview_immunocompromised_population,outcome_overview_manufacturer,outcome_overview_dose_description,outcome_overview_schedule,outcome_overview_time_frame_weeks,outcome_overview_confidence_interval,outcome_overview_ci_source,outcome_overview_percent_responders
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,14,10.06,11.62,8.72,0.95,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,14,10.60,12.09,9.30,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,18C,1.49,1.84,1.22,0.58,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,18C,2.57,3.04,2.16,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,18C,0.64,0.81,0.51,1.25,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,18C,0.51,0.64,0.40,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,18C,2.04,2.45,1.70,1.16,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,18C,1.76,2.14,1.46,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,19A,3.39,4.13,2.78,0.84,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,19A,4.03,4.84,3.36,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,19A,2.48,3.03,2.02,1.29,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,19A,1.92,2.36,1.56,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,19A,6.96,8.27,5.87,0.95,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,19A,7.35,8.72,6.21,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,19F,6.09,7.26,5.12,0.89,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,19F,6.88,7.99,5.92,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,19F,2.68,3.28,2.20,1.51,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,19F,1.78,2.17,1.46,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,19F,9.49,11.28,7.98,1.12,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,19F,8.48,9.93,7.25,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,23F,2.04,2.53,1.64,1.15,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,23F,1.78,2.22,1.43,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,23F,0.92,1.15,0.74,1.74,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,23F,0.53,0.69,0.41,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,23F,2.91,3.50,2.43,0.90,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,23F,3.22,3.91,2.66,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,22F,4.51,5.33,3.82,NA,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,22F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,22F,2.33,2.70,2.01,NA,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,22F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,22F,6.62,7.94,5.52,NA,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,22F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,33F,1.59,2.08,1.21,NA,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,33F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,33F,1.44,1.77,1.17,NA,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,33F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,33F,3.92,4.88,3.15,NA,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,33F,NA,NA,NA,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
