line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4246,EudraCT 2012-005366-35,6A,OPA,32.1,0,0,15.3,67.5,,49,PHiD-CV,3+1,0
4247,EudraCT 2012-005366-35,1,OPA,11.0,0,0,7.6,15.8,,46,PHiD-CV,3+1,12
4248,EudraCT 2012-005367-27,6C,OPA,2680.1,0,0,1535.4,4678.3,,49,PCV13,2+1,1
4249,EudraCT 2012-005367-27,18C,OPA,102.3,0,0,60.2,173.8,,37,PHiD-CV,2+1,0
4250,EudraCT 2012-005367-27,14,OPA,259.3,0,0,138.0,487.2,,31,PHiD-CV,2+1,12
4251,EudraCT 2012-005367-27,7F,OPA,614.3,0,0,486.8,775.3,,49,PCV13,2+1,0
4252,EudraCT 2012-005366-35,14,OPA,612.2,0,0,397.9,941.8,,45,PCV13,3+1,0
4253,EudraCT 2012-005367-27,19F,OPA,210.2,0,0,118.7,372.4,,38,PHiD-CV,2+1,12
4254,EudraCT 2012-005366-35,18C,OPA,2072.9,0,0,1680.9,2556.4,,51,PHiD-CV,3+1,1
4255,EudraCT 2012-005367-27,5,OPA,69.3,0,0,45.4,105.8,,35,PHiD-CV,2+1,12
4256,EudraCT 2012-005367-27,1,OPA,11.4,0,0,7.6,17.3,,37,PHiD-CV,2+1,12
4257,EudraCT 2012-005367-27,6A,OPA,966.7,0,0,677.0,1380.4,,49,PCV13,2+1,12
4258,EudraCT 2012-005367-27,6C,OPA,23.4,0,0,10.3,53.1,,36,PHiD-CV,2+1,0
4259,EudraCT 2012-005367-27,3,OPA,135.4,0,0,105.3,174.2,,49,PCV13,2+1,1
4260,EudraCT 2012-005366-35,9V,OPA,4099.2,0,0,3032.7,5540.8,,45,PCV13,3+1,1
4261,EudraCT 2012-005366-35,3,OPA,7.5,0,0,5.2,10.8,,44,PCV13,3+1,0
4262,EudraCT 2012-005367-27,23F,OPA,3391.4,0,0,2610.1,4406.6,,38,PHiD-CV,2+1,1
4263,EudraCT 2012-005367-27,6C,OPA,65.0,0,0,31.0,136.2,,46,PCV13,2+1,0
4264,EudraCT 2012-005366-35,23F,OPA,709.3,0,0,464.7,1082.9,,47,PHiD-CV,3+1,12
4265,EudraCT 2012-005367-27,1,OPA,6.8,0,0,5.3,8.8,,49,PCV13,2+1,0
4266,EudraCT 2012-005366-35,6A,OPA,4017.0,0,0,2708.5,5957.8,,51,PHiD-CV,3+1,1
4267,EudraCT 2012-005366-35,4,OPA,60.0,0,0,33.0,109.1,,43,PCV13,3+1,0
4268,EudraCT 2012-005366-35,18C,OPA,836.6,0,0,595.6,1175.3,,47,PHiD-CV,3+1,12
4269,EudraCT 2012-005367-27,19A,OPA,41.5,0,0,28.0,61.6,,46,PCV13,2+1,0
4270,EudraCT 2012-005367-27,23F,OPA,44.5,0,0,23.0,85.9,,46,PCV13,2+1,0
4271,EudraCT 2012-005367-27,4,OPA,86.8,0,0,52.4,143.7,,48,PCV13,2+1,12
4272,EudraCT 2012-005366-35,6B,OPA,532.4,0,0,348.2,814.0,,43,PCV13,3+1,12
4273,EudraCT 2012-005366-35,4,OPA,44.5,0,0,25.1,79.0,,46,PHiD-CV,3+1,12
4274,EudraCT 2012-005367-27,18C,OPA,33.6,0,0,21.3,52.8,,48,PCV13,2+1,0
4275,EudraCT 2012-005366-35,6A,OPA,8807.5,0,0,7174.8,10811.6,,45,PCV13,3+1,1
4276,EudraCT 2012-005366-35,6C,OPA,3207.6,0,0,2164.0,4754.7,,51,PHiD-CV,3+1,1
4277,EudraCT 2012-005366-35,1,OPA,177.6,0,0,135.1,233.4,,45,PCV13,3+1,1
4278,EudraCT 2012-005366-35,19A,OPA,65.1,0,0,39.6,107.1,,45,PCV13,3+1,0
4279,EudraCT 2012-005367-27,3,OPA,135.1,0,0,93.5,195.0,,38,PHiD-CV,2+1,1
4280,EudraCT 2012-005367-27,5,OPA,25.4,0,0,18.0,35.7,,45,PCV13,2+1,0
4281,EudraCT 2012-005367-27,18C,OPA,2122.1,0,0,1577.2,2855.2,,38,PHiD-CV,2+1,1
4282,EudraCT 2012-005367-27,1,OPA,291.8,0,0,197.2,431.8,,38,PHiD-CV,2+1,1
4283,EudraCT 2012-005367-27,23F,OPA,83.7,0,0,41.1,170.6,,38,PHiD-CV,2+1,0
4284,EudraCT 2012-005367-27,14,OPA,405.8,0,0,266.1,618.6,,36,PHiD-CV,2+1,0
4285,EudraCT 2012-005366-35,5,OPA,477.1,0,0,376.7,604.2,,45,PCV13,3+1,1
4286,EudraCT 2012-005366-35,3,GMC,0.17,0,0,0.12,0.23,,50,PHiD-CV,3+1,0
4287,EudraCT 2012-005366-35,23F,GMC,0.28,0,0,0.22,0.36,,45,PCV13,3+1,0
4288,EudraCT 2012-005366-35,23F,GMC,0.47,0,0,0.32,0.7,,48,PHiD-CV,3+1,12
4289,EudraCT 2012-005367-27,1,GMC,0.41,0,0,0.32,0.54,,38,PHiD-CV,2+1,12
4290,EudraCT 2012-005367-27,19F,GMC,9.36,0,0,7.56,11.6,,49,PCV13,2+1,1
4291,EudraCT 2012-005366-35,19A,GMC,1.11,0,0,0.78,1.58,,45,PCV13,3+1,12
4292,EudraCT 2012-005367-27,9V,GMC,2.18,0,0,1.76,2.71,,49,PCV13,2+1,1
4293,EudraCT 2012-005367-27,3,GMC,0.27,0,0,0.18,0.4,,33,PHiD-CV,2+1,12
4294,EudraCT 2012-005366-35,1,GMC,0.34,0,0,0.28,0.42,,45,PCV13,3+1,0
4295,EudraCT 2012-005366-35,18C,GMC,2.67,0,0,2.13,3.34,,51,PHiD-CV,3+1,1
4296,EudraCT 2012-005367-27,1,GMC,3.56,0,0,2.75,4.61,,38,PHiD-CV,2+1,1
4297,EudraCT 2012-005366-35,23F,GMC,4.35,0,0,3.25,5.82,,45,PCV13,3+1,1
4298,EudraCT 2012-005367-27,18C,GMC,0.43,0,0,0.32,0.58,,38,PHiD-CV,2+1,0
4299,EudraCT 2012-005367-27,7F,GMC,2.78,0,0,2.26,3.42,,38,PHiD-CV,2+1,1
4300,EudraCT 2012-005366-35,9V,GMC,0.25,0,0,0.2,0.33,,45,PCV13,3+1,12
4301,EudraCT 2012-005367-27,4,GMC,0.36,0,0,0.3,0.43,,49,PCV13,2+1,0
4302,EudraCT 2012-005366-35,18C,GMC,0.21,0,0,0.16,0.29,,45,PCV13,3+1,12
4303,EudraCT 2012-005366-35,4,GMC,0.3,0,0,0.24,0.37,,45,PCV13,3+1,0
