line,nct_id,serotype,assay,dose_number,vaccine,value,old_lower,old_upper,new_lower,new_upper,source_table
3277,NCT03512288,1,OPA,3,PCV20,16.300000000000000710542735760100185871124267578125,NA,NA,12.8,20.8,Table 3 (13 matched serotypes)
3278,NCT03512288,3,OPA,3,PCV20,50.2000000000000028421709430404007434844970703125,NA,NA,39,64.6,Table 3 (13 matched serotypes)
3279,NCT03512288,12F,OPA,3,PCV13,26.5,NA,NA,22.7,30.9,Table 4 (7 additional serotypes)
3280,NCT03512288,4,OPA,3,PCV13,390.30000000000001136868377216160297393798828125,NA,NA,239.5,636,Table 3 (13 matched serotypes)
3281,NCT03512288,5,OPA,3,PCV20,32.39999999999999857891452847979962825775146484375,NA,NA,25.1,41.7,Table 3 (13 matched serotypes)
3282,NCT03512288,6A,OPA,3,PCV13,866.799999999999954525264911353588104248046875,NA,NA,690.3,1088.6,Table 3 (13 matched serotypes)
3283,NCT03512288,8,OPA,3,PCV13,17.300000000000000710542735760100185871124267578125,NA,NA,15.2,19.8,Table 4 (7 additional serotypes)
3284,NCT03512288,5,OPA,3,PCV13,45.2000000000000028421709430404007434844970703125,NA,NA,35.9,57,Table 3 (13 matched serotypes)
3285,NCT03512288,8,OPA,3,PCV20,475.5,NA,NA,346.6,652.2,Table 4 (7 additional serotypes)
3286,NCT03512288,9V,OPA,3,PCV13,601.3999999999999772626324556767940521240234375,NA,NA,400.6,902.7,Table 3 (13 matched serotypes)
3287,NCT03512288,15B,OPA,3,PCV20,1085.799999999999954525264911353588104248046875,NA,NA,702.9,1677.4,Table 4 (7 additional serotypes)
3288,NCT03512288,18C,OPA,3,PCV20,1218.59999999999990905052982270717620849609375,NA,NA,948.2,1566.2,Table 3 (13 matched serotypes)
